id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
993,1994-01-11 01:18:34.5,34.976,-97.416,5,,,,,MCCLAIN,OGS,2.2,M3Hz,OGS,,,2.6,,,2.2,2.4,,,,,,,0101000020E6100000B4C876BE9F5A58C0B0726891ED7C4140,,
994,1994-01-16 20:06:48.31,36.402,-98.115,5,,,,,MAJOR,OGS,2.1,M3Hz,OGS,,,2,,,2.1,2.1,,,,,,,0101000020E61000008FC2F5285C8758C0FA7E6ABC74334240,,
995,1994-02-05 04:53:33.11,34.946,-98.155,5,,,,,CADDO,OGS,2,M3Hz,OGS,,,,,,2,1.4,,,,,,,0101000020E610000052B81E85EB8958C00C022B8716794140,,
996,1994-02-06 12:28:24.08,35.683,-96.37,5,,,,,CREEK,OGS,1.8,M3Hz,OGS,,,1.4,,,1.8,1.8,,,,,,,0101000020E610000048E17A14AE1758C08195438B6CD74140,,
997,1994-02-24 17:11:02.42,35.37,-98.063,5,,,,,GRADY,OGS,1.9,M3Hz,OGS,,,1.9,,,1.9,2.4,,,,,,,0101000020E610000079E92631088458C08FC2F5285CAF4140,,
998,1994-02-24 23:42:39.48,34.773,-97.686,5,,,,,GRADY,OGS,2.1,M3Hz,OGS,,,2.6,,,2.1,2.6,,,,,,,0101000020E610000096438B6CE76B58C06DE7FBA9F1624140,,
999,1994-02-25 16:38:01.35,34.82,-96.588,5,,,,,PONTOTOC,OGS,2,M3Hz,OGS,,,2.1,,,2,2.3,,,,,,,0101000020E61000001283C0CAA12558C0295C8FC2F5684140,,
1000,1994-02-25 22:37:16.5,34.88,-96.628,5,,,,,PONTOTOC,OGS,1.2,M3Hz,OGS,,,,,,1.2,1.8,,,,,,,0101000020E6100000D578E926312858C0713D0AD7A3704140,,
1001,1994-02-25 23:47:58.64,34.771,-97.68,5,,,,,GRADY,OGS,2,M3Hz,OGS,,,1.8,,,2,2.2,,,,,,,0101000020E6100000EC51B81E856B58C0A69BC420B0624140,,
1002,1994-03-04 22:42:54.65,35.882,-99.951,5,,,,,ROGER MILLS,OGS,1.8,M3Hz,OGS,,,,,,1.8,,,,,,,,0101000020E6100000BE9F1A2FDDFC58C037894160E5F04140,,
1003,1994-03-06 02:00:12.12,35.824,-99.787,5,,,,,ROGER MILLS,OGS,1.9,M3Hz,OGS,,,,,,1.9,,,,,,,,0101000020E6100000EE7C3F355EF258C0B6F3FDD478E94140,,
1004,1994-03-11 15:31:06.13,36.734,-99.689,5,,,,,HARPER,OGS,2.2,M3Hz,OGS,,,,,,2.2,,,,,,,,0101000020E61000006ABC749318EC58C0CBA145B6F35D4240,,
1005,1994-03-24 04:53:01.75,35.824,-99.834,5,,,,,ROGER MILLS,OGS,2.1,M3Hz,OGS,,,,,,2.1,,,,,,,,0101000020E61000004C37894160F558C0B6F3FDD478E94140,,
1006,1994-03-24 11:14:46.47,35.721,-98.944,5,,,,,CUSTER,OGS,2.3,M3Hz,OGS,,,,,,2.3,,,,,,,,0101000020E610000023DBF97E6ABC58C03F355EBA49DC4140,,
1007,1994-04-05 09:14:47.47,35.547,-98.819,5,,,,,CUSTER,OGS,2,Md,OGS,,,,,,,2,,,,,,,0101000020E610000023DBF97E6AB458C0BC74931804C64140,,
1008,1994-04-05 09:18:57.45,35.023,-97.559,5,,,,,MCCLAIN,OGS,1.7,M3Hz,OGS,,,1.6,,,1.7,2,,,,,,,0101000020E6100000B29DEFA7C66358C06DE7FBA9F1824140,,
1009,1994-04-14 21:50:05.13,34.69,-97.725,5,,,,,GRADY,OGS,2.4,M3Hz,OGS,,,2.3,,,2.4,2.3,,,,,,,0101000020E610000066666666666E58C0B81E85EB51584140,,
1010,1994-04-14 22:22:20.25,34.641,-97.743,5,,,,,STEPHENS,OGS,1.9,M3Hz,OGS,,,2,,,1.9,2.2,,,,,,,0101000020E6100000643BDF4F8D6F58C0355EBA490C524140,,
1011,1994-04-14 22:36:21.67,34.643,-97.733,5,,,,,STEPHENS,OGS,2.7,M3Hz,OGS,,,2.7,,,2.7,2.2,,,,,,,0101000020E6100000F4FDD478E96E58C0FCA9F1D24D524140,,
1012,1994-04-14 23:55:55.04,34.391,-97.774,5,,,,,STEPHENS,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.8,,,,,,,0101000020E6100000A8C64B37897158C0355EBA490C324140,,
1013,1994-04-15 01:19:52.04,34.643,-97.714,5,,,,,STEPHENS,OGS,2.5,M3Hz,OGS,,,2.8,,,2.5,2,,,,,,,0101000020E610000004560E2DB26D58C0FCA9F1D24D524140,,
1014,1994-04-15 02:33:00.11,34.58,-97.63,5,,,,,STEPHENS,OGS,2.1,M3Hz,OGS,,,1.9,,,2.1,1.9,,,,,,,0101000020E6100000B81E85EB516858C00AD7A3703D4A4140,,
1015,1994-04-15 03:40:04.13,34.687,-97.706,5,,,,,GRADY,OGS,2.3,M3Hz,OGS,,,2.2,,,2.3,1.7,,,,,,,0101000020E610000077BE9F1A2F6D58C00E2DB29DEF574140,,
1016,1994-04-15 03:42:52.27,35.195,-96.626,5,,,,,SEMINOLE,OGS,1.7,M3Hz,OGS,,,,,,1.7,,,,,,,,0101000020E6100000F2D24D62102858C0295C8FC2F5984140,,
1017,1994-04-15 03:54:19.76,35.055,-98.012,5,,,,,GRADY,OGS,2,M3Hz,OGS,,,,,,2,1.3,,,,,,,0101000020E610000054E3A59BC48058C0D7A3703D0A874140,,
1018,1994-04-15 04:00:20.47,35.69,-98.6,5,,,,,BLAINE,OGS,1.9,M3Hz,OGS,,,,,,1.9,2.1,,,,,,,0101000020E61000006666666666A658C0B81E85EB51D84140,,
1019,1994-04-15 04:14:48.58,35.844,-98.628,5,,,,,BLAINE,OGS,1.6,M3Hz,OGS,,,,,,1.6,1.9,,,,,,,0101000020E6100000D578E92631A858C079E9263108EC4140,,
1020,1994-04-15 04:17:40.38,34.323,-97.507,5,,,,,CARTER,OGS,1.6,M3Hz,OGS,,,,,,1.6,2.1,,,,,,,0101000020E61000009CC420B0726058C0D34D621058294140,,
1021,1994-04-15 04:20:52.14,34.721,-97.741,5,,,,,GRADY,OGS,2.1,M3Hz,OGS,,,1.9,,,2.1,2,,,,,,,0101000020E61000008195438B6C6F58C03F355EBA495C4140,,
1022,1994-04-15 04:38:26.53,34.717,-97.745,5,,,,,GRADY,OGS,1.7,M3Hz,OGS,,,,,,1.7,2.2,,,,,,,0101000020E610000048E17A14AE6F58C0B29DEFA7C65B4140,,
1023,1994-04-15 04:43:45.62,34.67,-97.741,5,,,,,STEPHENS,OGS,2.2,M3Hz,OGS,,,2.5,,,2.2,2.1,,,,,,,0101000020E61000008195438B6C6F58C0F6285C8FC2554140,,
1024,1994-04-15 05:28:33.07,34.651,-97.721,5,,,,,STEPHENS,OGS,1.9,M3Hz,OGS,,,2.1,,,1.9,2,,,,,,,0101000020E6100000A01A2FDD246E58C017D9CEF753534140,,
1025,1994-04-15 06:40:10.25,34.627,-97.71,5,,,,,STEPHENS,OGS,1.9,M3Hz,OGS,,,1.9,,,1.9,2.3,,,,,,,0101000020E61000003D0AD7A3706D58C0C74B378941504140,,
1026,1994-04-15 08:13:59.96,34.676,-97.721,5,,,,,STEPHENS,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.8,,,,,,,0101000020E6100000A01A2FDD246E58C04A0C022B87564140,,
1027,1994-04-15 10:04:41.88,34.709,-97.878,5,,,,,GRADY,OGS,1.8,M3Hz,OGS,,,1.6,,,1.8,1.8,,,,,,,0101000020E6100000D578E926317858C0986E1283C05A4140,,
1028,1994-04-15 11:52:55.26,34.69,-97.749,5,,,,,GRADY,OGS,1.7,M3Hz,OGS,,,,,,1.7,2.1,,,,,,,0101000020E61000000E2DB29DEF6F58C0B81E85EB51584140,,
1029,1994-04-15 14:27:20.12,34.648,-97.737,5,,,,,STEPHENS,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E6100000BA490C022B6F58C06DE7FBA9F1524140,,
1030,1994-04-15 16:37:52.73,34.682,-97.721,5,,,,,GRADY,OGS,2.3,M3Hz,OGS,,,2.1,,,2.3,1.8,,,,,,,0101000020E6100000A01A2FDD246E58C09EEFA7C64B574140,,
1031,1994-04-15 17:32:14.11,34.726,-97.682,5,,,,,GRADY,OGS,2,M3Hz,OGS,,,,,,2,1.6,,,,,,,0101000020E6100000CFF753E3A56B58C0B0726891ED5C4140,,
1032,1994-04-15 19:46:14.43,34.601,-97.713,5,,,,,STEPHENS,OGS,2.8,M3Hz,OGS,,,,,,2.8,1.9,,,,,,,0101000020E61000001283C0CAA16D58C0B0726891ED4C4140,,
1033,1994-04-15 22:13:18.33,34.674,-97.71,5,,,,,STEPHENS,OGS,2.3,M3Hz,OGS,,,,,,2.3,1.8,,,,,,,0101000020E61000003D0AD7A3706D58C083C0CAA145564140,,
